Breed,Facts,Photos,Photos Needed
Affenpinscher,3,0,3
Alaskan Husky,3,0,3
American Foxhound,3,0,3
Australian Cattle Dog,3,0,3
Belgian Tervuren,3,0,3
Black And Tan Coonhound,3,0,3
Brittany Spaniel,3,0,3
Canaan Dog,3,0,3
Cardigan Welsh Corgi,3,0,3
Cavalier King Charles Spaniel,3,0,3
Clumber Spaniel,3,0,3
English Mastiff,3,0,3
English Setter,3,0,3
Finnish Spitz,3,0,3
Gordon Setter,3,0,3
Irish Red And White Setter,3,0,3
Komondor,3,0,3
Lowchen,3,0,3
Norwegian Lundehund,3,0,3
Ridgeback,3,0,3
Scottish Deerhound,3,0,3
Scottish Terrier,3,0,3
Smooth Fox Terrier,3,0,3
Teddy Roosevelt Terrier,3,0,3
Tibetan Mastiff,3,0,3
Tibetan Terrier,3,0,3
Toy Poodle,3,0,3
Welsh Corgi Pembroke,3,0,3
Wire Fox Terrier,3,0,3
