Breed,Facts,Photos,Facts Needed,Photos Needed
Alaskan Malamute,2,1,1,2
Australian Shepherd,2,6,1,0
Basenji,2,1,1,2
Basset Hound,2,5,1,0
Beagle,2,7,1,0
Bichon Frise,1,1,2,2
Bloodhound,2,7,1,0
Borzoi,3,1,0,2
Brussels Griffon,2,1,1,2
Bull Terrier,2,1,1,2
Chow Chow,2,5,1,0
Dachshund,2,7,1,0
Doberman,2,1,1,2
English Toy Spaniel,1,1,2,2
Finnish Lapphund,2,1,1,2
Great Pyrenees,3,2,0,1
Irish Terrier,1,1,2,2
Irish Wolfhound,2,1,1,2
Jack Russell Terrier,2,6,1,0
Japanese Chin,2,1,1,2
Kerry Blue Terrier,2,1,1,2
Leonberger,2,1,1,2
Lhasa Apso,2,1,1,2
Mastiff,2,5,1,0
Norwegian Elkhound,2,1,1,2
Otterhound,2,1,1,2
Papillon,2,6,1,0
Pekingese,3,2,0,1
Pointer,3,1,0,2
Portuguese Water Dog,2,1,1,2
Pug,2,5,1,0
Rottweiler,2,8,1,0
Saluki,2,6,1,0
Samoyed,2,6,1,0
Shiba Inu,4,2,0,1
Siberian Husky,2,7,1,0
Skye Terrier,2,1,1,2
Vizsla,2,1,1,2
Weimaraner,2,1,1,2
Whippet,1,5,2,0
